
PID,client_IP,client_port,server_port,trans_proto,time
2081,192.168.1.3,35836,80,tcp,Wed-Nov-24-09:47:23-2021
2211,UNKNOWN,UNKNOWN,80,tcp,Wed-Nov-24-09:59:10-2021
2213,UNKNOWN,UNKNOWN,80,tcp,Wed-Nov-24-09:59:10-2021
2212,UNKNOWN,UNKNOWN,8080,tcp,Wed-Nov-24-09:59:10-2021
2219,UNKNOWN,UNKNOWN,81,tcp,Wed-Nov-24-09:59:10-2021
2355,192.168.1.3,55204,8080,tcp,Wed-Nov-24-10:00:47-2021
